Id;name;folder;dist_mm;area_mm;golden_ratio;sagging;tilt;out_angle;in_angle;elongation
474;E:\Data\CT2020\Portraits\Chine\S186 CH - 371.JPG;Chine;47.26926354;159.350625;1.780654874;0.980636224;0.145164817;0.896580189;0.801790962;0.296662142
475;E:\Data\CT2020\Portraits\Chine\S187 CH - 374.JPG;Chine;42.57175156;169.68375;1.82278463;0.973900014;0.150502912;1.006211815;0.83372383;0.323014378
476;E:\Data\CT2020\Portraits\Chine\S188 CH - 376.JPG;Chine;47.93917968;135.945;1.8298279;0.994642371;0.121277737;0.808157284;0.817167083;0.285609862
477;E:\Data\CT2020\Portraits\Chine\S189 CH - 377.JPG;Chine;49.21217302;153.635625;1.802141512;1.046577287;0.16807579;0.910352224;0.755945838;0.289066312
478;E:\Data\CT2020\Portraits\Chine\S190 CH - 379.JPG;Chine;42.92026067;124.081875;1.799235058;1.07763391;0.166027547;0.88540102;0.803287234;0.295955763
479;E:\Data\CT2020\Portraits\Chine\S191 CH - 381.JPG;Chine;48.39438192;186.85125;1.799277826;1.032268897;0.156339846;1.095757574;0.946068887;0.37008738
480;E:\Data\CT2020\Portraits\Chine\S192 CH - 384.JPG;Chine;43.94524132;127.45125;1.786043213;1.028286364;0.136357871;0.822636731;0.761165364;0.281902548
481;E:\Data\CT2020\Portraits\Chine\S193 CH - 385.JPG;Chine;48.30700175;162.32625;1.796258008;1.040240368;0.155787523;0.86390567;0.797096987;0.297254207
482;E:\Data\CT2020\Portraits\Chine\S194 CH - 387.JPG;Chine;51.86853235;161.325;1.786029246;1.071705857;0.155068483;0.90403208;0.856909967;0.309966517
483;E:\Data\CT2020\Portraits\Chine\S195 CH - 389.JPG;Chine;39.76529503;111.391875;1.816175033;0.99857675;0.159157008;0.956989361;0.825850213;0.310527692
484;E:\Data\CT2020\Portraits\Chine\S196 CH - 391.JPG;Chine;43.27648134;137.9475;1.778330781;0.996455825;0.149742395;0.863486594;0.722772428;0.28257668
