id;name;folder;ell_L;ell_R;in_angle_L;in_angle_R;out_angle_L;out_angle_R;tilt_L;tilt_R;dist_L;dist_R;sagging_L;sagging_R;golden_ratio_L;golden_ratio_R;area_L;area_R;ratio_L;ratio_R;ratio1_L;ratio1_R;ratio2_L;ratio2_R
42;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 55_D0_Front Face_ILLUS_rect.jpg;CHINE;0.2964471486388717;0.2947860021296567;0.8209998461263495;0.7753470939131352;0.9058637016249297;0.951580687704041;0.12766545124835696;0.11633817204421247;330.9531688925187;393.45139471096047;1.0291580356559369;1.0193121295744052;1.8498456145683677;1.8753961212250727;37781.0;39779.0;1.3197480017630945;1.329198428058258;1.3459024586515418;1.3561259023408763;2.0817970925360947;2.0817970925360947
43;E:\Data\Etude_typo_regard\EXTRACT\CHINE\Sub 56_D0_Front Face_ILLUS_rect.jpg;CHINE;0.36057020477796425;0.3738730989909136;0.9023734884458285;0.9098588115224144;1.1320581678862351;1.2014926886612534;0.13198672000730113;0.1325025320706004;343.11076928595526;390.8772185738125;1.0071945913515823;1.014283947397858;1.8804797143891978;1.8967814313111422;54208.0;51399.0;1.3391822064209415;1.3243337133092488;1.364821627060676;1.3488507084397734;2.0755918799818014;2.0755918799818014
44;E:\Data\Etude_typo_regard\EXTRACT\COREE\01_Front_Open_Standard.jpg;COREE;0.3915752552473478;0.3739755070563171;0.9845608380000371;0.9541805457493048;1.2257503470496616;1.1367756022525586;0.12874978430458492;0.11980751812913142;455.2636598719472;527.0379492977712;0.9453155189446244;0.9547325865538263;1.8422661357942727;1.8582265759906984;112329.0;116753.0;1.3288916372836632;1.3440922984111854;1.3509320837997434;1.3671514067617754;2.0670143111515813;2.0670143111515813
45;E:\Data\Etude_typo_regard\EXTRACT\COREE\02_Front_Open_Standard.jpg;COREE;0.31199279198303304;0.29476047032170144;0.757074628102331;0.7176482788407266;1.0105835656348046;0.9587938784603265;0.13205156628870235;0.11804433069933484;496.15824088691704;520.5506699640296;1.0522456650553274;1.0581106643116724;1.816685007012107;1.8190924928899348;98784.0;96794.0;1.3668082576518459;1.3744315084864376;1.3874821937982798;1.3955351039922095;2.0563616977403396;2.0563616977403396
46;E:\Data\Etude_typo_regard\EXTRACT\COREE\03_Front_Open_Standard.jpg;COREE;0.36641451561975535;0.3515616833861592;0.9271616977407059;0.9429026705693502;1.177854145555164;1.055720558136758;0.1086548873303316;0.09683892022652935;433.6865227327222;474.45547736326114;0.8110096610609094;0.8156896641730061;1.8396144107144197;1.8474829122479974;96637.5;104841.5;1.3408017913549273;1.3631178813409672;1.3792247720628863;1.4040568426475075;2.112742895379747;2.112742895379747
47;E:\Data\Etude_typo_regard\EXTRACT\COREE\04_Front_Open_Standard.jpg;COREE;0.2714029895158136;0.26361968159201543;0.718159439334815;0.6914403323659201;0.8621037196756155;0.8362066083325109;0.1243950541019454;0.11513866718996968;449.9444410146657;496.78969393496885;1.077928626936178;1.0346519855287573;1.7970181482082164;1.816017680710597;72679.5;75262.5;1.3296285395479277;1.3411764054917605;1.354714576756765;1.367141281029181;2.076103960061352;2.076103960061352
48;E:\Data\Etude_typo_regard\EXTRACT\COREE\05_Front_Open_Standard.jpg;COREE;0.30367459991526463;0.31795759221692355;0.7552437691439388;0.7848958528108024;0.9723676836108008;1.0704803783768295;0.13823342287138962;0.13743799518600736;525.0838028353188;521.6943549627501;1.023172892022356;1.045163902890783;1.8315892887782506;1.8363355711836733;76392.0;78861.0;1.3100230134517867;1.3057533023361494;1.345490382329563;1.3407322061240157;2.1144023744653135;2.1144023744653135
49;E:\Data\Etude_typo_regard\EXTRACT\COREE\06_Front_Open_Standard.jpg;COREE;0.3789680831331672;0.38803406225328235;0.9691718436579451;0.9580773933433883;1.1239964526577402;1.2317125871985644;0.07383430210248297;0.08061937805371605;502.9612311103113;486.47404863980154;0.7620116896286881;0.8012294745313853;1.8370651910581108;1.8418432954802255;97627.0;98324.0;1.3173608584124372;1.3139653784835843;1.342348220708618;1.33868539814786;2.0787348585492778;2.0787348585492778
50;E:\Data\Etude_typo_regard\EXTRACT\COREE\07_Front_Open_Standard.jpg;COREE;0.3553447457336261;0.34841753157434924;0.8438455049572811;0.8685393952858895;1.1647528266442067;1.056933464421224;0.16592607647141755;0.15055991994622625;480.54240187521435;484.8360547649071;1.0254960187858113;1.0020062225398079;1.8518056156580716;1.8451056708043148;81698.5;79882.5;1.3170125641629726;1.3166424523545746;1.3456312855763883;1.3452277614432628;2.090276300212198;2.090276300212198
51;E:\Data\Etude_typo_regard\EXTRACT\COREE\08_Front_Open_Standard.jpg;COREE;0.340026555375845;0.3295553384631638;0.8602739310536311;0.8369035306070745;1.0890053687994836;1.0756801607153026;0.14311682678315152;0.13545555071256418;456.2159576341012;492.4682730897494;1.0115905157921197;1.0066105732170365;1.8396614271910914;1.8525634664803514;91498.5;89503.5;1.350189673483051;1.3517328663790382;1.379324532851177;1.380996115335456;2.083197368666944;2.083197368666944
52;E:\Data\Etude_typo_regard\EXTRACT\COREE\09_Front_Open_Standard.jpg;COREE;0.2797309684616283;0.27081874548887314;0.715309164004039;0.7121800635577811;0.9170024892662574;0.8469922242562908;0.09291567918689515;0.07887641873153493;499.8119646427044;508.5400672513425;1.0681537182748402;1.0506377039153594;1.811162037794394;1.8122422857372662;85188.5;86263.5;1.3488901301548537;1.3571169776813492;1.3662907624022025;1.3749279177476668;2.049874246197866;2.049874246197866
53;E:\Data\Etude_typo_regard\EXTRACT\COREE\10_Front_Open_Standard.jpg;COREE;0.32904310714887613;0.3324679637134243;0.8361012180693371;0.859500185479878;1.042911827445958;1.0512938651247041;0.13937917159688834;0.14168234656227213;465.4342058766201;473.92509956743163;0.9986844312994525;1.0078820331360514;1.8362816787218095;1.8424655683013837;88525.5;89271.0;1.3385540129139661;1.3373082688912012;1.3576496528469302;1.3563336444692915;2.056403525595831;2.056403525595831
54;E:\Data\Etude_typo_regard\EXTRACT\COREE\11_Front_Open_Standard.jpg;COREE;0.379078356802607;0.36660562005326175;0.9641850711254555;0.9220216158513422;1.161557898851945;1.158671190001467;0.12582481623370692;0.11197840063035112;471.07218130558294;499.5447927863927;1.026424861642551;1.0014818724335868;1.8383754678597164;1.8383950967321863;92208.0;100850.0;1.3148495261598734;1.3357945361184747;1.3447823924730955;1.3677186526351404;2.095070387045851;2.095070387045851
55;E:\Data\Etude_typo_regard\EXTRACT\COREE\12_Front_Open_Standard.jpg;COREE;0.37241622578665484;0.3735392123299639;0.9416045490020217;0.9331197032477029;1.1579129859966755;1.2196701633512932;0.12831678577453712;0.1428281530315554;482.86851212312445;486.6590182047385;0.9395853635549848;0.9098823097201741;1.865860590092672;1.858240470721496;90837.0;94083.5;1.3200182064810244;1.3246290060234565;1.3403433262135938;1.34524696863454;2.0635123856110185;2.0635123856110185
